SMILES,Activity probability,Cytotoxicity probability,PPB fraction,SA score,Max similarity,Closest known molecule,Neutral SMILES
C=Cc1cc2c(C(=O)[O-])cccc2c(-c2cccc(F)c2SCCCC)n1,0.038404901,0.800773203,0.98181653,3.14,0.5,c1cc(C(Nc2ccc(C#N)cc2C(=O)O)=O)cnc1SC(CCC)C,C=Cc1cc2c(C(=O)O)cccc2c(-c2cccc(F)c2SCCCC)n1
Cc1c2c(cc3ccc4[n+](c13)CCc1ccc(C(F)(F)F)cc1O4)OC(C)(C)C=C2C=C([O-])CCC(=O)C(C)C,0.038389862,0.918023169,0.9824885,4.14,0.63,N(C)(C)CCCCC(c1ccccc1)(O)C(c1cc2c(ccc(Br)c2)nc1OC)c1cc(F)ccc1F,Cc1c2c(cc3ccc4[n+](c13)CCc1ccc(C(F)(F)F)cc1O4)OC(C)(C)C=C2C=C(O)CCC(=O)C(C)C
COc1cc([O-])ccc1C(=O)[N-]CCCOc1ccc2nc3c(c(O)c2c1)C(=O)c1ccccc1[S+](O)CCCC3,0.038373854,0.915703058,0.9646673,4.91,0.68,C(c1nc2c(cc1)SCC(=O)N2)NC1CCC(C(=O)Nc2ccnc3c2nc(OC)cc3)CC1,COc1cc(O)ccc1C(=O)NCCCOc1ccc2nc3c(c(O)c2c1)C(=O)c1ccccc1[S+](O)CCCC3
Cc1ncn(-c2cccc(-n3ncc4c(-c5cnn(C)c5)c(-c5cc(Cl)cc(Cl)c5)c(O)nc43)c2)n1,0.038299788,0.416593939,0.9913381,3.11,0.77,c1cc(C([N-]c2c([N+]#N)c(C)nn2C)=O)c(Cl)cc1Cl,Cc1ncn(-c2cccc(-n3ncc4c(-c5cnn(C)c5)c(-c5cc(Cl)cc(Cl)c5)c(O)nc43)c2)n1
Cc1ncn(C)c1-c1cncc(C=Cc2ccc(OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)n1,0.038273394,0.819573224,0.99760747,2.98,0.68,c1cc(C=Cc2ccc(OCC)cc2)[n+](C)cc1,Cc1ncn(C)c1-c1cncc(C=Cc2ccc(OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)n1
CC(C=CCCCC(C)C)=CC(=O)C=CC1OC(C)(CO)CC2C(C)(C)CCCC12C,0.038159516,0.338763326,0.93803835,4.77,0.77,CCOC1(C)C=C2C(C(C)(C)OC3=C2C(=O)C=C(CCCCC)C3=O)CC1,CC(C=CCCCC(C)C)=CC(=O)C=CC1OC(C)(CO)CC2C(C)(C)CCCC12C
COCC1[NH+]=C(N)NC1([NH3+])c1ccc(-c2ccc(C#N)cc2)cc1,0.038118966,0.730019808,0.5625311,4.24,0.57,NC(N)=NC1C(O)C(O)C(OC2OC(C)C(O)(C=O)C2OC2C(NC)C(O)C(O)C(CO)O2)C(N=C(N)N)C1O,COCC1N=C(N)NC1(N)c1ccc(-c2ccc(C#N)cc2)cc1
NC(=O)CCNc1cc(OC(F)(F)F)cc2nccn12,0.038114343,0.383422911,0.60738397,2.84,0.69,n1c(N2CC(N)CC2CN)nc(Nc2ccc(NC(c3c(O)c4c(cccc4)cc3)=O)cc2)nc1N1CC(N)CC(N)C1,NC(=O)CCNc1cc(OC(F)(F)F)cc2nccn12
CC(=CC(C)CC([O-])=CC(=O)[O-])c1cc([O-])c(O)cc1Br,0.038063314,0.379804373,0.65567434,4.88,0.66,c1c(O)c(C)c(O)c(Oc2c(C(=O)OC)c(C)c(Cl)c(O)c2)c1C(=CC)C,CC(=CC(C)CC(O)=CC(=O)O)c1cc(O)c(O)cc1Br
CCCc1nc2ccccn2c1C=C1CCC(=O)C(C(C)(O)C=C(C)C)=C1[O-],0.038056482,0.915919602,0.8328209,4.16,0.6,O(c1cc(CCCCC)c2cc(C(O)=O)c(=O)oc2c1C)C1C(O)C(OC(=O)c2ccc(C)[nH]2)C(OC)C(C)(C)O1,CCCc1nc2ccccn2c1C=C1CCC(=O)C(C(C)(O)C=C(C)C)=C1O
CCCCCCCCCCCCC(=O)[N-]N=Cc1ccc([O-])c(Cl)c1[O-],0.037987329,0.43456161,0.9705086,3.88,0.52,O(c1cc(C)c(Cl)cc1C(C)C)CCCCCCCC[N+](Cc1oc([N+]([O-])=O)cc1)(C)C,CCCCCCCCCCCCC(=O)NN=Cc1ccc(O)c(Cl)c1O
CCC1(C)C([N+](=O)c2ccc(C)cc2)=C(SCC(N)=O)[SH]2[NH+]3OC1C32OC,0.037962556,0.867632389,0.8390465,5.49,0.64,c1(C(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4cc[n+](C)cc4)OCC23)=NOC2CCCC2)csc(N)n1,CCC1(C)C([N+](=O)c2ccc(C)cc2)=C(SCC(N)=O)[SH]2N3OC1C32OC
Cc1cn(C2OC(O)(CNC(=O)CC(C)C)C(O)C2O)c(=O)[nH]c1=O,0.037924778,0.454137802,0.25093383,4.01,0.82,C(CCCCCNCC(OC1OC(CN)C(O)C1O)C1CC(O)C(n2ccc(=O)[nH]c2=O)O1)CCCCCCCC,Cc1cn(C2OC(O)(CNC(=O)CC(C)C)C(O)C2O)c(=O)[nH]c1=O
CCCC[NH2+]C(=S)[NH2+]N=Cc1ccc(OCc2cccc([N+](=O)[O-])n2)cc1Cl,0.03792363,0.697678864,0.91587,3.87,0.59,c1(Oc2ccccc2NC(NCCCNc2c3c(ncc2)cc(Cl)cc3)=Nc2ccccc2)c(Cl)ccc(Cl)c1,CCCCNC(=S)NN=Cc1ccc(OCc2cccc([N+](=O)[O-])n2)cc1Cl
CCCC(O)Cc1ccc(OCCCOc2c3c(cc4nc(O)ccc24)OCO3)cc1,0.037877034,0.727607131,0.9718872,3.13,0.69,c1(=O)n2c(ccc2)oc2c1c(O)c(CCC)c(O)c2,CCCC(O)Cc1ccc(OCCCOc2c3c(cc4nc(O)ccc24)OCO3)cc1
CNc1nc(-c2ccccc2Br)c2[nH]cnc2n1,0.037869155,0.609521031,0.948771,2.56,0.79,c1cc(Br)cc2nc(Nc3cc(Cl)c(Cl)cc3)[nH]c12,CNc1nc(-c2ccccc2Br)c2[nH]cnc2n1
CC1CC(O)CC(O)C1C=C(S)C(O)N=Nc1ccc2ccccc2c1[O-],0.037850562,0.399947733,0.96698624,4.94,0.56,O=C(C)NC12C=CC(=O)C=CC1c1c(cc(O)c(O)c1O)CC2C,CC1CC(O)CC(O)C1C=C(S)C(O)N=Nc1ccc2ccccc2c1O
CCCCCN(CCCCCCCCCOc1ccc2c(=O)ccn(CCC)c2c1)c1ccccc1,0.03776738,0.540757477,0.9830823,2.48,0.71,C(CCN(c1cccc(OC)c1)c1c[n+](C)ccc1)CCC1CCCCC1,CCCCCN(CCCCCCCCCOc1ccc2c(=O)ccn(CCC)c2c1)c1ccccc1
O=C1C(=O)N(c2ccc(F)c(F)c2)CCC1=Cc1ccc(-c2ccc(F)cc2)cc1,0.037766069,0.781288922,0.987985,2.33,0.63,o1cccc1C(C1=C(c2ccc(O)c(Br)c2)C(=Cc2cc(Br)c(O)cc2)N(CCC)C1=O)=O,O=C1C(=O)N(c2ccc(F)c(F)c2)CCC1=Cc1ccc(-c2ccc(F)cc2)cc1
Nc1nc(-c2ccccc2)c2cccnc2c1C(=O)Nc1cc(Cl)cc(Cl)c1,0.037730388,0.900440097,0.9897078,2.3,0.84,FC(F)(c1c(C2CC2)cc2cc(C(N)=O)c(N)nc2n1)F,Nc1nc(-c2ccccc2)c2cccnc2c1C(=O)Nc1cc(Cl)cc(Cl)c1
NCCC[N-]C(=O)c1cc(-c2ncnc3c2[nH]c2ccccc23)ccn1,0.037718248,0.931324244,0.8766321,3.27,0.67,c1cc2c(cc1C1=NCCN1)[nH]c(-c1ccc(-c3[nH]c4c(ccc(C5=NCCN5)c4)c3)cc1)c2,NCCCNC(=O)c1cc(-c2ncnc3c2[nH]c2ccccc23)ccn1
COc1cc(C=CC(=O)c2cccc3oc(=O)c(C(C)C)cc(=O)c23)ccc1O,0.037712548,0.645588815,0.97417843,2.65,0.79,c12c(C)cc(O)cc1Oc1c(C(=CC)C)cc(O)c(C)c1OC2=O,COc1cc(C=CC(=O)c2cccc3oc(=O)c(C(C)C)cc(=O)c23)ccc1O
O=S(=O)(Cc1ccc(Br)cc1)[N-]C1CCCCC1[NH2+]C1CCCC1,0.037671361,0.519409835,0.8289175,4.62,0.59,c1cc(Cl)ccc1S(=O)(=O)C=CS(Cc1nnc(CS(=O)(Nc2ccc(Cl)cc2)=O)n1N)(=O)=O,O=S(=O)(Cc1ccc(Br)cc1)NC1CCCCC1NC1CCCC1
COc1cc2c(c(OC)c1OC)-c1c(n[nH]c1-c1cnn(-c3ccc(F)cn3)c1)C(=O)C2,0.037664406,0.937015414,0.87031496,3.06,0.73,c1c2c(O)c(C(c3cn(-c4ccccc4)nc3-c3ccc(C)cc3)c3c(=O)n(C)c(=O)n(C)c3N)c(=O)oc2ccc1F,COc1cc2c(c(OC)c1OC)-c1c(n[nH]c1-c1cnn(-c3ccc(F)cn3)c1)C(=O)C2
CC12CCC3C(O)CCOCC3C(C=CC1=O)C2,0.037658952,0.443692386,0.4968396,5.26,0.68,C12(C)CCC3C1(CC1(C)CCC(CO)(CO)C31)C(C)C=CC2=O,CC12CCC3C(O)CCOCC3C(C=CC1=O)C2
CC(C)CC=N[N-]C(=O)C1C(=O)[NH+](C)C(=O)C1c1ccoc1,0.037605237,0.727685571,0.39722162,5.64,0.6,c1(C(NC(C=CC=CC)=O)CC(=O)NC(C(C2C(=O)NC(=O)C2C)=O)C(C)C)ccccc1,CC(C)CC=NNC(=O)C1C(=O)N(C)C(=O)C1c1ccoc1
[O-]c1ccc(C=CC2=C(O)OCCC(C=Cc3cccs3)C2)cc1,0.037594531,0.565780342,0.96458393,4.02,0.51,C1C23C(=C)C4C(=O)C(C)(C(O)C2C(=O)O1)CC31CCC2C(C)(C=CC(=O)C2(C)C)C41,OC1=C(C=Cc2ccc(O)cc2)CC(C=Cc2cccs2)CCO1
COC(=O)C1C(C)C=C2c3cccc([O-])c3C([N-]C(C)=O)C(=O)N2C1C1OC(=O)c2ccccc21,0.037594508,0.76555115,0.9266813,5.17,0.72,O1Cc2ncccc2N2C(=O)c3c(c(O)cc(OC)c3C)C12,COC(=O)C1C(C)C=C2c3cccc(O)c3C(NC(C)=O)C(=O)N2C1C1OC(=O)c2ccccc21
CNC(C(=O)[O-])c1cc(C(F)(F)F)c(Cl)cc1C,0.037567813,0.345629156,0.8289982,3.45,0.5,c1(Cl)cc(Cl)cc(C(c2c(Cl)c(Cl)c(Cl)[nH]2)=O)c1OC,CNC(C(=O)O)c1cc(C(F)(F)F)c(Cl)cc1C
CCOC=CC(=O)CC(C)C=C(C)CNC(C)C,0.037267942,0.177889183,0.5754328,3.75,0.51,C(=CCN)(C)CCC=C(C)CCC=C(C)C,CCOC=CC(=O)CC(C)C=C(C)CNC(C)C
CC1(Cl)C(=O)N(c2ccc(Cl)c(F)c2)C(c2ccc[n+]([O-])c2)C2=C1CCCO2,0.037263546,0.929644883,0.94060326,4.2,0.66,COc1ccc(C=Cc2c(N3C(=O)C4=Cc5c(ccc(Br)c5)OC4=NC3)c(C)no2)cc1,CC1(Cl)C(=O)N(c2ccc(Cl)c(F)c2)C(c2ccc[n+]([O-])c2)C2=C1CCCO2
COc1c2c(c(OC3OC(C)C(O)C(OC)C3O)c3c1OCO3)SC(c1ccco1)COC2,0.037260644,0.453117311,0.8319244,4.78,0.68,c12c(C)c(O)c(O)c(O)c1C(C1OCc3c(C)c(O)c(O)c(O)c31)OC2O,COc1c2c(c(OC3OC(C)C(O)C(OC)C3O)c3c1OCO3)SC(c1ccco1)COC2
CCCCCCCC[NH+](Cc1ccc(C#N)cc1)C(=O)OCSCCCSCC1CC(=O)[N-]C1NC(C)=O,0.037255816,0.722474217,0.96687496,5.11,0.68,C(CCCCCNCC(OC1OC(CN)C(O)C1O)C1CC(O)C(n2ccc(=O)[nH]c2=O)O1)CCCCCCCC,CCCCCCCCN(Cc1ccc(C#N)cc1)C(=O)OCSCCCSCC1CC(=O)NC1NC(C)=O
CCC(C)=CC(=O)COC(=O)C(C)CCCCCCC=CC(=O)NC(O)C=CC(=O)N1CC(O)C(O)C1,0.037236664,0.702160835,0.73186994,4.53,0.77,C1=CC(=O)C2=C(O)C(N(C)C2=O)CCCNC(=O)CC=CC2C1CC1C3CC(C)C(CC)C3C=CC12,CCC(C)=CC(=O)COC(=O)C(C)CCCCCCC=CC(=O)NC(O)C=CC(=O)N1CC(O)C(O)C1
COc1cc(-c2ccc(OCCN(C)C)cc2C)nc2ccc(Cn3ccnc3)cc12,0.037202049,0.913779855,0.9387587,2.44,0.71,c1ccc2c(n1)C(=O)c1n3c(ccc(Br)c3)c(C(OCCCCCCN3CCN(C)CC3)=O)c1C2=O,COc1cc(-c2ccc(OCCN(C)C)cc2C)nc2ccc(Cn3ccnc3)cc12
COc1cc(N2CCNC(=O)C2)ccc1NCC[NH2+]C1CC1c1ccccc1,0.03716721,0.844130337,0.7500268,3.83,0.71,N1CCN(C(c2ccc(Oc3cc(F)c(CC)cc3O)c(F)c2)=O)CC1=O,COc1cc(N2CCNC(=O)C2)ccc1NCCNC1CC1c1ccccc1
COc1ccc2c(c1)C(=O)C=C1C2=C([NH2+]C(C)C(C)C)C(=O)C(Cl)=C1[NH+]1CCOCC1,0.037157126,0.750349641,0.756536,4.83,0.67,c12cc(C(=O)O)c(=O)n3c1c(c(N1CC4C(N)CC(OC)CC4C1)c(F)c2)OCC3C,COc1ccc2c(c1)C(=O)C=C1C2=C(NC(C)C(C)C)C(=O)C(Cl)=C1N1CCOCC1
NC(=O)c1cc(-c2cccnc2)cc2nccc(Nc3cccc([O-])c3)c12,0.03711858,0.927882671,0.8793669,2.84,0.72,Cc1cc(C)nc2c1C(=O)NC(c1cc(C)c(O)c(C)c1)N2,NC(=O)c1cc(-c2cccnc2)cc2nccc(Nc3cccc(O)c3)c12
CCCCCCCCCCCCn1cc(Sc2nnc(-c3ccncc3)o2)nc1C#N,0.037092593,0.403600574,0.98185813,2.95,0.76,C(N1CCC(C)CC1)n1nc(-c2sccc2)n(CC)c1=S,CCCCCCCCCCCCn1cc(Sc2nnc(-c3ccncc3)o2)nc1C#N
CCCCCCC(Cc1cccc(C2=CCOCC2)c1)C(C)(C)c1cc2ccccc2nc1O,0.037063301,0.589945018,0.9909115,3.44,0.59,C12CC(C)CCC1C(C)(C)Oc1c2c(O)cc(C=Cc2c(O)cccc2)c1,CCCCCCC(Cc1cccc(C2=CCOCC2)c1)C(C)(C)c1cc2ccccc2nc1O
Cc1ccc(-c2cc(C)c3c(c2)c(=O)oc2c(=O)n4n(c23)C(C(C)C)SC4)cc1,0.037048649,0.805520654,0.9906629,3.6,0.61,s1c(-c2cccnc2)ncc1-c1c2ccc(=O)n(CCC)c2[nH]n1,Cc1ccc(-c2cc(C)c3c(c2)c(=O)oc2c(=O)n4n(c23)C(C(C)C)SC4)cc1
CC(=O)[N-]C1CSC(CS)[N-]C1=O,0.037037421,0.335613132,0.52096117,6.37,0.53,C1(=O)NC(C(C)C)C(=O)N2C1CCC2,CC(=O)NC1CSC(CS)NC1=O
Cc1cc(C(=O)[O-])ccc1-c1cc([O-])cc(-c2cc([O-])c([O-])cc2C)c1,0.037025742,0.522300303,0.8615691,3.84,0.66,c1(O)c(-c2c(O)c3c(C=O)c(O)c(O)c(C(C)C)c3cc2C)c(C)cc2c1c(C=O)c(O)c(O)c2C(C)C,Cc1cc(C(=O)O)ccc1-c1cc(O)cc(-c2cc(O)c(O)cc2C)c1
CC1CCC2(C)OOC1CC1CC3C(C)C(=O)CCC3(C)C12,0.037021898,0.447070271,0.9346085,5.72,0.76,C1CC2C34C(OC(C)(OO3)CCC4C1C)OC(O)C2C,CC1CCC2(C)OOC1CC1CC3C(C)C(=O)CCC3(C)C12
CCCCCOc1ccc(C=C(C#N)C([N-]C(C)=O)=C(C#N)C(=O)OC)c([O-])c1,0.037013851,0.687777162,0.9441412,3.73,0.64,O(C)C(=O)NC=CCCC(c1cc(O)c(C(C(C)=CC=C(C)CCC(C(=CCC=CC)C)O)=O)c(=O)o1)C,CCCCCOc1ccc(C=C(C#N)C(NC(C)=O)=C(C#N)C(=O)OC)c(O)c1
CCCS(=O)(=O)c1c(O)cc([O-])c(C(C)C)c1C,0.036951989,0.490415037,0.71317935,3.32,0.59,c1(S(NCCC)(=O)=O)ccc(Oc2c(O)cc(CC)cc2)c(F)c1,CCCS(=O)(=O)c1c(O)cc(O)c(C(C)C)c1C
FC(F)(F)c1ccc(C[NH2+]CC2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,0.036916852,0.63777703,0.9325374,3.05,0.71,c1(NCCN)cc2sc(N3CCc4c5cc(Cl)ccc5[nH]c4C3)nc2c(C(F)(F)F)c1,FC(F)(F)c1ccc(CNCC2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1
CCCCCCCCCCCCCC(=O)NCC=Cc1cccc([O-])c1,0.036916766,0.238052934,0.9378505,2.62,0.67,N(C)C(Cc1ccc(O)cc1)C(O)CCC=CC(CC(C)CC)C,CCCCCCCCCCCCCC(=O)NCC=Cc1cccc(O)c1
CC1[NH2+]CC[NH2+]C1Cc1ccc(-n2cc(C(F)(F)F)nn2)cc1,0.03691119,0.572599292,0.49420756,4.77,0.68,c1(NCCN)cc2sc(N3CCc4c5cc(Cl)ccc5[nH]c4C3)nc2c(C(F)(F)F)c1,CC1NCCNC1Cc1ccc(-n2cc(C(F)(F)F)nn2)cc1
CC(C)=Cc1cc(-n2cc(C=O)c3c(F)cccc32)c(O)c(C(C)(C)C)c1,0.036867954,0.543383956,0.9881502,2.97,0.64,c1(C#N)ccc(C=Cc2n(-c3cccc(O)c3)c(=O)c3c(n2)cccc3F)cc1,CC(C)=Cc1cc(-n2cc(C=O)c3c(F)cccc32)c(O)c(C(C)(C)C)c1
COC12C(=O)C(=O)C(C(C)C)=C([O-])C1C1=C(C=C2C)C(=O)OC(C)(C)O1,0.036866508,0.653962255,0.68206054,4.81,0.82,O(C(=O)C(=CC)C)C1c2c(ccc3ccc(=O)oc32)OC(C)(C)C1OC(=O)C(C)=CC,COC12C(=O)C(=O)C(C(C)C)=C(O)C1C1=C(C=C2C)C(=O)OC(C)(C)O1
O=C1C=CCC[NH+]2C1CCC2(CC=CCc1ccccc1Cl)CNCc1ccc(F)cc1,0.03683991,0.791890144,0.94679296,4.58,0.67,c12c(cccc1)[nH]c1c(C3C4C56C(C(O)(C3O)CCC=CCCCCN(CC4)C5)NCCCCCCCC6)nccc21,O=C1C=CCCN2C1CCC2(CC=CCc1ccccc1Cl)CNCc1ccc(F)cc1
CC1=CC(=O)C2(C)OC(C)(C)CCC12O,0.03682315,0.447407842,0.26303428,4.33,0.79,OC12C(C(C)=CC1=O)CC1(C)CCC3(C1CC=C2C=O)C(C)CC(C=C(C)C)O3,CC1=CC(=O)C2(C)OC(C)(C)CCC12O
CC(C)C1N=C(COP(N)(=O)c2ccccc2)C(C)(O)CC1=O,0.036819663,0.754204512,0.47763005,4.54,0.61,c1c(N(C)CCOP(NC(C(=O)OC)C)(=O)Oc2ccccc2)c2cc(C(C)(C)C)ccc2oc1=O,CC(C)C1N=C(COP(N)(=O)c2ccccc2)C(C)(O)CC1=O
CCC=CC=CC=CC(C)(C)C([NH2+]CCO)C(F)F,0.036768131,0.521542013,0.536393,4.91,0.44,c1c(C(C)(C)C)ccc(CNC2C(NCc3ccc(C(C)(C)C)cc3)CCCC2)c1,CCC=CC=CC=CC(C)(C)C(NCCO)C(F)F
Cc1cc(CN2CCN(C)CCCC(=NC3CCC3)C2)no1,0.036727954,0.689669907,0.27369148,3.24,0.63,CC(CCC=C(CCC=C(CCC=C(C)C)C)C)=CC[n+]1cn(CCC#N)c2nc[nH]c(=NOC)c21,Cc1cc(CN2CCN(C)CCCC(=NC3CCC3)C2)no1
N#Cc1c(Sc2ccc(Br)cc2)n(CC(=O)[N-]CC[NH3+])c2ccccc12,0.036719184,0.66935879,0.92164624,3.7,0.67,c1(-c2nnc(CN3Cc4c(ccs4)CC3)o2)ccc(F)cc1,N#Cc1c(Sc2ccc(Br)cc2)n(CC(=O)NCCN)c2ccccc12
O=C([O-])C(Oc1ccc2cc1O[S+]2Cn1cc(COc2ccc(Cl)cc2)nn1)c1c[nH]c2ccccc12,0.036714584,0.664487362,0.9690493,5.0,0.62,O1CC(=O)N(Cc2nnn(-c3ccc(C)cc3)c2)c2c1ccc(Cl)c2,O=C(O)C(Oc1ccc2cc1O[S+]2Cn1cc(COc2ccc(Cl)cc2)nn1)c1c[nH]c2ccccc12
CC(=O)n1cnc(S(=O)(=O)[NH+]2CCOC(C)C2)c1,0.036599252,0.485213429,0.12496151,5.09,0.72,C1(=NN=C2C(=O)Nc3ccc(S(=O)(N4CCOCC4)=O)cc32)SC(C)C(=O)N1c1ccccc1,CC(=O)n1cnc(S(=O)(=O)N2CCOC(C)C2)c1
Cn1cc(-c2cc(N3CCNC(=O)C3)nc(N)n2)cc1C#N,0.036489364,0.453257769,0.29644164,3.0,0.75,O=C1C(N(C(=O)CC(N)CCCCN)C)CN=C(Nc2ccccn2)N1,Cn1cc(-c2cc(N3CCNC(=O)C3)nc(N)n2)cc1C#N
Cc1cccc(-c2nc(C)c(-c3ccc(-c4ccccn4)o3)s2)c1,0.03646056,0.824396312,0.98416233,2.36,0.56,c12ccsc1C(=O)c1ccncc1C2=O,Cc1cccc(-c2nc(C)c(-c3ccc(-c4ccccn4)o3)s2)c1
COC(=O)C=Cc1ccc([O-])cc1,0.036437672,0.255881548,0.6685362,2.81,0.52,C1(=O)C(=O)C(C(C)C)=Cc2ccc3c(cc(OC)c(C)c3C)c21,COC(=O)C=Cc1ccc(O)cc1
Cc1ccsc1C(=O)NCC(N)C(O)CC(N)=O,0.036390405,0.460581601,0.13865814,3.31,0.62,C1(O)C=CC=CCNC(=O)C2=CCC(C)OC(=O)C(NC(=O)c3nc(oc3)CC(O)C1)CS2,Cc1ccsc1C(=O)NCC(N)C(O)CC(N)=O
CCC(C)Oc1cccc2oc3c(c(=O)c12)C(=O)C1(CN(C2CC2)C1)C(=O)[N-]3,0.036372941,0.883483946,0.8236306,4.51,0.65,c1(C(N2CCCC(n3c(=O)[nH]c(=O)c(C)c3)C2)CC(C)(CCC)C)cc(Oc2cccc(Cl)c2)c(C(O)=O)cc1,CCC(C)Oc1cccc2oc3c(c(=O)c12)C(=O)C1(CN(C2CC2)C1)C(=O)N3
CC1Oc2c(cc([N+](=O)[O-])c(C(=O)c3nc4ccccc4[n-]3)c2[O-])N(C)C1=O,0.036363222,0.833435714,0.90402716,4.43,0.79,O(C)c1cc(C=Cc2oc(-c3cc([N+](=O)[O-])cn3C)nn2)ccc1O,CC1Oc2c(cc([N+](=O)[O-])c(C(=O)c3nc4ccccc4[nH]3)c2O)N(C)C1=O
CC1=CC(=NO)C(OC2=C(O)C(C)=N[NH+]3C(=O)c4ccccc4C23)C(C)O1,0.036352258,0.852748096,0.75189614,5.39,0.66,N(N1C(N)=NNC12c1cc(C)ccc1NC2=O)=Cc1ccc(O)c(OC)c1,CC1=CC(=NO)C(OC2=C(O)C(C)=NN3C(=O)c4ccccc4C23)C(C)O1
CCCCCC1Oc2cc(Br)ccc2[NH+]1CCC#N,0.036329716,0.48852542,0.9111207,4.62,0.66,c1c(Cl)cc2c(c1)n(C)cc2CCC(=O)NCc1c2c(n(C)c1C)ccc(OC(F)(F)F)c2,CCCCCC1Oc2cc(Br)ccc2N1CCC#N
NC(=C1C=CC2(C1)C(=Cc1ccccc1)C(c1ccc([O-])cc1)C1=Cc3cccc2c31)[N+](=O)[O-],0.036311354,0.273576021,0.97823924,5.01,0.56,c1ccc2sc(Sc3cc4c(cc3)OC(N)=C(C#N)C4c3ccc([N+](=O)[O-])cc3)nc2c1,NC(=C1C=CC2(C1)C(=Cc1ccccc1)C(c1ccc(O)cc1)C1=Cc3cccc2c31)[N+](=O)[O-]
Nc1nc(N)c(C(=O)c2ccn(-c3cccc(F)c3C(=O)[O-])c2)c(N)n1,0.036284883,0.648656487,0.6145682,3.21,0.66,c1c2c(O)c(C(c3cn(-c4ccccc4)nc3-c3ccc(C)cc3)c3c(=O)n(C)c(=O)n(C)c3N)c(=O)oc2ccc1F,Nc1nc(N)c(C(=O)c2ccn(-c3cccc(F)c3C(=O)O)c2)c(N)n1
CC(NC(=O)CC(=O)[O-])c1cc(Cl)c2c(c1)[N-]C(=O)CO2,0.036266025,0.474731386,0.7071201,4.42,0.65,NC(CC1C(O)C(C(=O)NC(C2Cc3cccc(O)c3C(=O)O2)CC(C)C)OCN1)=O,CC(NC(=O)CC(=O)O)c1cc(Cl)c2c(c1)NC(=O)CO2
CN1CCN(C(=O)[N-]C2(C(=O)[N-]C(Cc3ccc(Cl)cc3)C(=O)[NH+]3CCC(CCN)CC3)CCCCCC2)CC1,0.036263384,0.912339509,0.7117613,4.82,0.66,C(=O)(N)NC1=NCC(N(C(CC(N)CCCCN)=O)C)C(=O)N1,CN1CCN(C(=O)NC2(C(=O)NC(Cc3ccc(Cl)cc3)C(=O)N3CCC(CCN)CC3)CCCCCC2)CC1
CC(CO[NH+]=C(N)N)SC(=O)SC#N,0.03625631,0.346374661,0.24740896,5.41,0.44,n1c(N)scc1COC(c1ccc(C#N)nc1)=O,CC(CON=C(N)N)SC(=O)SC#N
COc1ccc(NC(=S)[NH2+]C2CC=C(c3ccc(Cl)c(Cl)c3)c3ccccc32)cc1,0.036253441,0.687886298,0.96242154,3.43,0.56,c12c(OC)cc(Cc3cnc(N)nc3N)cc1C(C)=C(F)C(C)(CF)N2,COc1ccc(NC(=S)NC2CC=C(c3ccc(Cl)c(Cl)c3)c3ccccc32)cc1
COc1cc([O-])ccc1C(=O)[N-]CCCOc1ccc2nc3c(c([O-])c2c1)C(=O)c1ccccc1[S+](O)CCCC3,0.036237139,0.918217301,0.94995815,5.07,0.66,C(c1nc2c(cc1)SCC(=O)N2)NC1CCC(C(=O)Nc2ccnc3c2nc(OC)cc3)CC1,COc1cc(O)ccc1C(=O)NCCCOc1ccc2nc3c(c(O)c2c1)C(=O)c1ccccc1[S+](O)CCCC3
[O-]c1ccc(CC(CS)[NH+]=C2N=NC(c3ccc([O-])cc3)C2c2ncccc2[O-])cc1,0.036223024,0.315886974,0.8679211,5.51,0.59,n1c(-c2n(N=Cc3c(O)cccc3)c(S)nn2)cncc1,Oc1ccc(CC(CS)N=C2N=NC(c3ccc(O)cc3)C2c2ncccc2O)cc1
O=C(C=Cc1ccc(F)cc1)c1oc(=O)c([O-])cc1O,0.036153924,0.324400187,0.86272806,3.01,0.68,c1(C2=C(O)C(=Cc3ccccc3-c3cc(Cl)c(Cl)cc3)OC2=O)cc(Cl)c(Cl)cc1,O=C(C=Cc1ccc(F)cc1)c1oc(=O)c(O)cc1O
CCN(CC)CCn1nc(C)c2c([O-])c(C(C)N)c(=O)[nH]c(=O)c21,0.036125783,0.692298651,0.3478734,3.68,0.66,C1C(C(N)C)CCN1c1c(OC)c2n(C3CC3)c3c(c(=O)[nH]s3)c(=O)c2cc1F,CCN(CC)CCn1nc(C)c2c(O)c(C(C)N)c(=O)[nH]c(=O)c21
COc1cc(C(=O)OC2CC3(O)CCC4C=C(O)OC(=O)C43O2)c(-c2ccc(Br)[nH]2)cc1OC,0.036115892,0.624201,0.95194185,5.25,0.7,c1cc(C(=O)OCCc2c3c(cccc3)[nH]c2C(c2ccc(OC(F)(F)F)cc2)c2c(O)c3c(oc2=O)cccc3)ccc1,COc1cc(C(=O)OC2CC3(O)CCC4C=C(O)OC(=O)C43O2)c(-c2ccc(Br)[nH]2)cc1OC
